STATISTIC CODE,Statistic,TLIST(A1),Year,COUNT_PARTNER,Trade Partner,RUSECTION,Industry Sector,UNIT,VALUE
BESESCOUNT,Number of Businesses,2013,2013,EXTERN,External Seller,L,Real Estate Activities,Count,292
BESESCOUNT,Number of Businesses,2013,2013,EXTERN,External Seller,M,"Professional, Scientific And Technical Activities",Count,1708
BESESCOUNT,Number of Businesses,2013,2013,EXTERN,External Seller,N,Administrative And Support Service Activities,Count,268
BESESCOUNT,Number of Businesses,2013,2013,EXTERN,External Seller,P,Education,Count,270
BESESCOUNT,Number of Businesses,2013,2013,EXTERN,External Seller,Q,Human Health And Social Work Activities,Count,62
BESESCOUNT,Number of Businesses,2013,2013,EXTERN,External Seller,R,"Arts, Entertainment And Recreation",Count,161
BESESCOUNT,Number of Businesses,2013,2013,EXTERN,External Seller,S,Other Service Activities,Count,119
BESESCOUNT,Number of Businesses,2013,2013,EXPORT,Exporter,ALL,All industries,Count,9457
BESESCOUNT,Number of Businesses,2013,2013,EXPORT,Exporter,A,"Agriculture, Forestry And Fishing",Count,51
BESESCOUNT,Number of Businesses,2013,2013,EXPORT,Exporter,B,Mining And Quarrying,Count,39
BESESCOUNT,Number of Businesses,2013,2013,EXPORT,Exporter,C,Manufacturing,Count,2005
BESESCOUNT,Number of Businesses,2013,2013,EXPORT,Exporter,D,"Electricity, Gas, Steam And Air Conditioning Supply",Count,18
BESESCOUNT,Number of Businesses,2013,2013,EXPORT,Exporter,E,"Water Supply; Sewerage, Waste Management And Remediation Activities",Count,45
BESESCOUNT,Number of Businesses,2013,2013,EXPORT,Exporter,F,Construction,Count,796
BESESCOUNT,Number of Businesses,2013,2013,EXPORT,Exporter,G,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Count,3145
BESESCOUNT,Number of Businesses,2013,2013,EXPORT,Exporter,H,Transportation And Storage,Count,443
BESESCOUNT,Number of Businesses,2013,2013,EXPORT,Exporter,I,Accommodation And Food Service Activities,Count,20
BESESCOUNT,Number of Businesses,2013,2013,EXPORT,Exporter,J,Information And Communication,Count,874
BESESCOUNT,Number of Businesses,2013,2013,EXPORT,Exporter,L,Real Estate Activities,Count,50
BESESCOUNT,Number of Businesses,2013,2013,EXPORT,Exporter,M,"Professional, Scientific And Technical Activities",Count,1297
BESESCOUNT,Number of Businesses,2013,2013,EXPORT,Exporter,N,Administrative And Support Service Activities,Count,161
BESESCOUNT,Number of Businesses,2013,2013,EXPORT,Exporter,P,Education,Count,201
BESESCOUNT,Number of Businesses,2013,2013,EXPORT,Exporter,Q,Human Health And Social Work Activities,Count,58
BESESCOUNT,Number of Businesses,2013,2013,EXPORT,Exporter,R,"Arts, Entertainment And Recreation",Count,159
BESESCOUNT,Number of Businesses,2013,2013,EXPORT,Exporter,S,Other Service Activities,Count,96
BESESCOUNT,Number of Businesses,2014,2014,EXTERN,External Seller,ALL,All industries,Count,11534
BESESCOUNT,Number of Businesses,2014,2014,EXTERN,External Seller,A,"Agriculture, Forestry And Fishing",Count,76
BESESCOUNT,Number of Businesses,2014,2014,EXTERN,External Seller,B,Mining And Quarrying,Count,54
BESESCOUNT,Number of Businesses,2014,2014,EXTERN,External Seller,C,Manufacturing,Count,2249
BESESCOUNT,Number of Businesses,2014,2014,EXTERN,External Seller,D,"Electricity, Gas, Steam And Air Conditioning Supply",Count,23
BESESCOUNT,Number of Businesses,2014,2014,EXTERN,External Seller,E,"Water Supply; Sewerage, Waste Management And Remediation Activities",Count,59
BESESCOUNT,Number of Businesses,2014,2014,EXTERN,External Seller,F,Construction,Count,1405
BESESCOUNT,Number of Businesses,2014,2014,EXTERN,External Seller,G,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Count,3358
BESESCOUNT,Number of Businesses,2014,2014,EXTERN,External Seller,H,Transportation And Storage,Count,522
BESESCOUNT,Number of Businesses,2014,2014,EXTERN,External Seller,I,Accommodation And Food Service Activities,Count,49
BESESCOUNT,Number of Businesses,2014,2014,EXTERN,External Seller,J,Information And Communication,Count,893
BESESCOUNT,Number of Businesses,2014,2014,EXTERN,External Seller,L,Real Estate Activities,Count,280
BESESCOUNT,Number of Businesses,2014,2014,EXTERN,External Seller,M,"Professional, Scientific And Technical Activities",Count,1797
BESESCOUNT,Number of Businesses,2014,2014,EXTERN,External Seller,N,Administrative And Support Service Activities,Count,223
